,Id_Canton,Nombre_c,Status_c,Id_Coor
0,6596b873d35147a8b347cf3470200da7,Pedro Moncayo,En vigencia,1da88540857341c280d64df692865675
1,974494ed7f6b4463902ca18006ac30fb,Distrito Metropolitano de Quito,En vigencia,95c51d49b897492482f7607c534e10be
2,01c7668d68314a1c8b026cebdd550582,Distrito Metropolitano de Quito,En vigencia,f0f1ccbba2cd4e228d7588df73228020
3,400bf73c33954916aa2ad4b7e15f1eec,Distrito Metropolitano de Quito,En vigencia,e6de909a2df945acad042e28fb609be0
4,b9ccc7f4b2c1449a895be5d1b6cca39f,Pedro Moncayo,En vigencia,e2daa06497b14be3a2634c647ff67925
5,dd493134be144967a1c95d4bdcda2679,Distrito Metropolitano de Quito,En vigencia,7e42749f03204feab048d518ae7b3268
6,ebc66ff8ef904e74927a64e89fe69ee8,Distrito Metropolitano de Quito,En vigencia,22354ff9f04340859f7f4dc2aea2acef
7,9316e06d02d04a30be8962fec7e1fa29,Distrito Metropolitano de Quito,En vigencia,db3556e0699143d4b1a06406d21a7305
8,45ceac9d6f154f79885813fae624daae,Distrito Metropolitano de Quito,En vigencia,d2593180f94c4c24b4a18aa635ae7d16
9,139e7adcd55e490c87b72c2ed52dc94c,Mejia,En vigencia,e9483111026c4e628a7e0215f9dc8565
10,5455041ac53f4e67bfcaaac63825732c,Distrito Metropolitano de Quito,En vigencia,1bf3f187a19b4b59b7a02d9628862343
11,1ec342c4a66f430ab9d0a8eb94eeddb8,Pedro Moncayo,En vigencia,f55e992469a14ec9aa9312cfb69c9ddb
12,47efce61e6a24801ae0f02ffc4c109d2,Distrito Metropolitano de Quito,En vigencia,41f07214662449de83b63f0992f6ab48
13,61eb6d4f926e4112a345269d687ef484,Mejia,En vigencia,ccded22827e54a1a88eb1d62ab80a715
14,3933f8cfbcfe4bc097d7b8fb8e5465c0,Pedro Vicente Maldonado,En vigencia,f944b2a04ee048f68ea6e591db3b9edc
15,d013e8c6098145e9ba3f999237d4fff7,Distrito Metropolitano de Quito,En vigencia,34de17c8d6bc4adfbd166359c269d3ca
16,f8c2da765c724f65833f8186a4c0ebb3,Distrito Metropolitano de Quito,En vigencia,495aab647e4c45b989a44f705daacad2
17,83585d57aa43487cab8633815ccdc11d,Pedro Vicente Maldonado,En vigencia,0e81a3d0f62c4a8a806e7dc6684c8e98
18,8221e8cf2ea7432bb297e54505392d9f,Distrito Metropolitano de Quito,En vigencia,2847c8b63e58444ca631910b23eb4085
19,4c71463fe02f4e24973b7b545cdd93e9,Mejia,En vigencia,57b7d188fdc141e9afdc8ef48735f6b3
20,344f852cbff442ec9e32dea7ee796e37,Rumiñahui,En vigencia,8db3e3b0306d4c258fda626bdcdc9011
21,eeec26c77dc44aee9f1706afda452dfd,Distrito Metropolitano de Quito,En vigencia,7e3c9bc1d04c411686ac72d097422f95
22,8e6c60e04a7d416db62f4240b28daa91,Distrito Metropolitano de Quito,En vigencia,9179c703e5f84cf59d7e72e6caa8e4ef
23,5218bfc7b5d44aa3966b15c531e2fa3a,Distrito Metropolitano de Quito,En vigencia,afb9361a03e24372898ea42267309e2c
24,40d90f24b13f438bbb2d6279ebb02a35,Distrito Metropolitano de Quito,No existe,501112f2b81f489b805e3b2016c9edd8
25,87d9dcb367ac4a24817a77a535338cf8,Pedro Moncayo,En vigencia,f15607cdec714f52bfc1040c55056f69
26,2bcc82963834440da1e670af8a7eaf2c,Distrito Metropolitano de Quito,En vigencia,fb196fae0e9246b2804294807347b4a3
27,0e331651433a45f487ba76e4a18a5fed,Distrito Metropolitano de Quito,En vigencia,8e48f39d179e4655823af5417d9c2a31
28,79ef4fb750a444978cdf30522a47024a,Distrito Metropolitano de Quito,En vigencia,5e9feebaa5e844ed8c4f797de1f2efb8
29,23816e242d754306b95b87784b1d3528,Pedro Vicente Maldonado,En vigencia,8394a0ca5e29483e83e253bddff6704a
30,1c3b81d41c574b28b09b2ffff235925e,Distrito Metropolitano de Quito,En vigencia,e9c32719b09e450c8d9f8117a1edfc93
31,387f7f65b4b8497b9d40d7e96854255a,Distrito Metropolitano de Quito,En vigencia,bb9f55af21d145da89d5453522c16afd
32,9c352381fe504ad2891ab1da8bf356f4,Distrito Metropolitano de Quito,En vigencia,bbe3b9e60c474cdd81b67fb45f5399ab
33,2769ebe1cef54d14b5558c5e999fd112,Rumiñahui,En vigencia,fb2ff8fa56bb4387bfd795da9951874c
34,6731d692be8b403189abc3114728111d,Mejia,En vigencia,af3ffba060914de28e1a3e98e010d4f6
35,d37bc605a16c426b898280b063261ecc,Distrito Metropolitano de Quito,En vigencia,a07f9e6ed54848e09d54fa15ae362765
36,ff60f451d5c74c669dda597c212d5753,Mejia,En vigencia,dbca3bfff153445ab9b4b0e6c1a5e433
37,2aa6448d67db49d59bbbd3df22f12abb,Pedro Moncayo,En vigencia,765d7a21f5464be1a7e8fdf99570455e
38,a65da79902634b389807900c25aca6e1,Distrito Metropolitano de Quito,No existe,19f82a08e7ef42d6939e25cccdcbc845
39,da825dbdcc984f628809758bd39b5701,San Miguel de los Bancos,En vigencia,a0302959ebf04b299474249fe673bed9
40,912b94e03c1c4c9b846eb08194fa6125,Distrito Metropolitano de Quito,En vigencia,fc6d0ae9d4f64ee2b398a2e4ea4bf43f
41,0a6df890abdb4106ba9470d8e4e3a866,Pedro Vicente Maldonado,En vigencia,93ad43bd7ba8424eb699e75af75d7ad9
42,82439579cd504113b31e77647641837b,Distrito Metropolitano de Quito,En vigencia,2b10a9de986a44289d32bdfc537d5cfe
43,a2a3c92c47fa4e779958c7513348dbfa,Distrito Metropolitano de Quito,En vigencia,81eb454539444f39ae16e25a7a9384af
44,4c0b5895ec2a440180496ae05c664c94,Distrito Metropolitano de Quito,En vigencia,bdb723fa206f427db943d4a467a6697c
45,d7f581245a18410dbd2f79b4ed0ec311,Rumiñahui,En vigencia,b101852cdb11438ca7bd21781408c41c
46,862ecfb673dc41798c5cc12a568bd052,Pedro Moncayo,En vigencia,968e8da7099743e5bfe7bc8d4359eded
47,68a051772c2f4525a133b375a4fa5686,Distrito Metropolitano de Quito,En vigencia,ade65853060744ad86368ee741b5833c
48,a1db6a4e36cc4aa6a3c9c93aa4ab8328,Distrito Metropolitano de Quito,En vigencia,28163a0f2cf94004b77a759bc795ca4a
49,5a1e9c0f4e5c49c9b06ae68846c0d5e8,San Miguel de los Bancos,En vigencia,b2ef01e34a314590aa18ae0cc18e7598
50,b3f6f65e79e74ecdb70269ec88c240f7,Rumiñahui,En vigencia,da3dc574abe04182bbaa87a712758960
51,27762402efc04686b11ba808eaf0f4dc,Distrito Metropolitano de Quito,En vigencia,8d97ba4f922c440eb01402b7c2c8fa76
52,96e285e0ec0d4936b4f246aba2d74a0b,Rumiñahui,En vigencia,8c546cb4c1bb40778a65b0a96b276b11
53,697d82e7397d4b729ce2da0b4b606db8,Distrito Metropolitano de Quito,En vigencia,80ea9d8a8608418d91cee71951bbaf03
54,f8c015d55a924a3b8631ba50b0b8daff,Pedro Vicente Maldonado,En vigencia,d9b3ce16fb0c4c86bd5c8997a327b086
55,b8ba1fd995b04a32bc5bc6a81da7d3f8,Distrito Metropolitano de Quito,En vigencia,bfcc1b316bc840288499a2dcfd26f8c9
56,cf4a28af7c614cb0a7a0d366359b8e77,Distrito Metropolitano de Quito,En vigencia,c8833759ec99480f81793bf590f6013e
57,51e75d9fcc6143a4b443e05cef603dd0,Distrito Metropolitano de Quito,En vigencia,f1a7d5f95ff5467bbf7a58317b96a343
58,b75af4b03141422fa0289713479c7c8b,Distrito Metropolitano de Quito,En vigencia,252ef86bb8714467b4d5e0785abb475f
59,7765e6f1089a4ab98c031ada3cdf2e3a,Distrito Metropolitano de Quito,En vigencia,b42e9a9bfaea4b16be995346f9f6f954
60,aeeef6c7a2fc4c269cab7918aa472d2f,Distrito Metropolitano de Quito,No existe,6136c762bccd4b1ab329f1aeb512c55c
61,d0898ad8879d451ea328af73f6206e57,Cayambe,En vigencia,ffa890e592f94308a9352ce6ed9f638f
62,36ff6d6efbcd400297be9d92293185c2,Distrito Metropolitano de Quito,En vigencia,14a62f02506c480a94c449f507d6a01f
63,f36c8f0361434adbbd697d23aea13540,Distrito Metropolitano de Quito,En vigencia,445bddfc00574f5d917f4362d2d2452e
64,cbe14a18ab2c4299883db2f7baea9892,Distrito Metropolitano de Quito,En vigencia,1eafe506a56d494d8c1fb7c3234fb829
65,31004d09499942e6b7f5adcdc2f634ca,Pedro Moncayo,En vigencia,a545a7d3dd0e47e6a9094ccd600882e1
66,d8542b902ea546a9a5ee0c3bf08ccd78,San Miguel de los Bancos,En vigencia,78b977c951084982ae77615415e26e84
67,2a163a7649c74176a1363ade36674463,Distrito Metropolitano de Quito,En vigencia,e319c635543f49a29f1683db67177827
68,03feceab5b2e41b2bb8a7e5495373e5e,Distrito Metropolitano de Quito,En vigencia,a083e3c889354d7ca1978fc1e0b62651
69,bd7214a5e2e3494fad1a28bb12ffdb6c,Puerto Quito,En vigencia,2cb859b1d293438d9c5f68176b3d6a9c
