,idProv,Nombre_Pr,Status_PrId_Coor,Status_Pr,Id_Coor
0,36caa200be914a89bfa6f0a2ee1751cd,Pichincha,,En vigencia,db81b1db4e784c7d942912d17c4bb743
1,64071efabafd4f03bb8e499fbe2e6e6f,Galapagos,,En vigencia,4b1bfe02fbf048048956bb11aba3aab3
2,6640c0076bd64887a67dd489988b6a97,Napo,,En vigencia,061af9803d8541a7a76a963a25f10f11
3,a72f3d76cd4d44c3a51707d4ff2493fb,Bolívar,,En vigencia,ff19b29dd3984d819c82b49012dad8a1
4,486dea1293c5480393859d305ccd404f,Guayas,,En vigencia,3723581b9eaa4df3b40d26c7cb9c5b8d
5,b58e1138a75c4a14b1b500819bcfcfd6,Tungurahua,,En vigencia,4789ff7cee8f4c9699b8b94c8d31116e
6,753ba4fee6de470c8a5e917e6b2da76b,Pichincha,,No existe,a3d9e4e9e63948608cae411494648e3c
7,c918a147da934c8b916da7697429c98b,Guayas,,En vigencia,b8ffa8f608474f52b48586aaab0b5f52
8,7c979762eae547ae937c2d8d217583db,Pastaza,,En vigencia,b17a62df7ec7447094a44e6799a1dfaa
9,332e148d27514c7cabe8978e2592dfcf,Chimborazo,,En vigencia,6a02417c687d42f6b792acd15267319d
10,310c32ea47d841b3ba8d5b3e3c55bda7,Pichincha,,En vigencia,426da2985b2d4bacbdbe97b27cc4730d
11,e393063a32214a4f9e4a560dc3257abc,Carchi,,En vigencia,6b9ae7c48c424785a8cf544e2bdb5fe0
12,dd2a36fdde6e477fa213a37ca7150dc6,El Oro,,En vigencia,1d480f52ecaf48fdb14eb69f83b00d67
13,56e5ea6aeb37466b949aed7c59f67767,Chimborazo,,No existe,0384c542bba2461da67c3e1ec5cdf21a
14,4d0978733b0c44318f774d1ca47a6b9d,Pichincha,,En vigencia,c6f2e8b79bcc48c6a92eb1ec726dfeb6
15,5c90a39547274f93a171bf95487baa9e,Los Ríos,,En vigencia,00dfece08e72419989da5b53fba12992
16,124c87800bb84b7eac5e38dfa11e9e45,Galapagos,,En vigencia,6f0c5f87915e490c9b5c3522b3453d09
