,Id_Parr,Nombre_Prq,Status_Prq,idProv,Id_Canton,Id_Coor
0,baae27c38e1c44839ebe90f3972d160d,La Mena,En vigencia,352e5d29c0834bdb869a0c000bbe4189,fc94b30c24cb4e4eaf881fb954ae9dbd,c6e1cc20a21846cf81f27afe20baccd1
1,bc301d3a0a6649f49b092cc22bfb6051,El Condado,En vigencia,a6ce2fd7a08849efa9eda5cda8f0a7d3,965bc44f5a194576b8e5dd358d7d95b9,8b0d2d3f5bf44fefb74b9baa09f40003
2,05c79e83510d4c8eb2b44a0c32937f69,Comité Pueblo,En vigencia,71e0d4d60a0e4b0ab4a79d86ddf5be26,36d2edfd97d64e96a7a35a8a22f64dd9,62b457cc9f3b4676b697a88c8c31fd8c
3,5368cd56853a49eb9fd35818a190c24b,Centro Histórico,En vigencia,dcdee86401624a57a469fc4bdf835015,de417e38de2b4c6aa01e23394bd85b14,b21c6c6cf44b46b48d62d1a5dd7ab47b
4,524b15d937aa446c89dcc8059b0c248f,Centro Histórico,En vigencia,e9e920a9ae7e4463abf395217408898f,c7387e4e87d94d7795b77a646cc77a2e,7fb72e45b1e84148b829175e6473c48f
5,3e2744bc6f414a6bafe76afbf27eb102,Concepción,En vigencia,3df113ca3fa44011acac1a92c2fda68e,f839b1cd00ee427aa878e1c0c4781f9c,4d86c2c5e5ea430fa1d68e10bd3f7a8f
6,866459009a684171babde2f4d7a176d9,Centro Histórico,En vigencia,1ebe4648d7d84784bb7cca7b534edf2e,5930f90f1c4c4cd4b17c9dab8a606fea,8be2922b58f242488a2742aa936c620e
7,9f6b553133df475f8d56ac9d1a61accb,Centro Histórico,En vigencia,3940ab6caca34a44aeb606e622b0a49d,72ef356f4ef74c09b3ae5a445dbed694,d26b5b453de943b0b28f6d1565cb5fd3
8,cea6523558134a84aa836aa64613d9e1,Centro Histórico,En vigencia,69913298d6744545ab3f070a2263147a,f3d1ca8df07344a5b11110e35b047235,c80d6398c272400f99a00e31b5babb62
9,223ad8c58c164661bb9fe269efd1a40d,Centro Histórico,En vigencia,7bc8bb8d18d14eae9b958d6e82a0fe2a,dd91955b5d02474796af44fde655f584,d5c254f0c93e4df39ec6dc8b9d9fa511
10,372f6016b3924c1986cf3f555293436a,Iñaquito,En vigencia,8bd9688d86d64ddaa4dc2e7891162da7,3041e86779f04fbc80fa06a264a58d81,769b7eb3607e455a915a28664c672700
11,eaa67f02252b426ea3bf8db3f6e36aed,Centro Histórico,En vigencia,f7cd7a16723e4993ab6c7e07eb274866,c530ae9915ec44ada1a0bb6b1aa03087,e963871c52334bada6b7725179716d25
12,649e1a09bb0f45088b039580dae25418,Centro Histórico,En vigencia,abc378027f9e40789f21b76c28ac7b5d,8429e52a0ee644c2bc67e1166e66f258,81db7315dcc7491f80b51036bbb039cb
13,5cdc5736e7ef4a11820a6576b1299070,Centro Histórico,En vigencia,3a0aae0a476e4ad887f4683393e8fc9f,01023e2c9b3f41bc85482beb63c6a66a,ea415e2f2845434a94dd3061e9781894
14,22a09c689e4347b9a089bf16e218bcac,Centro Histórico,En vigencia,92168e786d89417aae7ab5a8f8b01bce,4db3a4f69bdc477f957fe985601f70d3,c7cb560ba23a4698b69fec452fcb2aad
15,d49629bbd1d341af9843ea69f23a99da,Centro Histórico,En vigencia,ed326204c46048068a125bf95f4061f3,032bff9c863d4830816848882d6063e1,65387489cf494259bf28426e8ee44a18
